,left x,left y,right x,right y
0,206,662,3011,2009
1,205,664,3010,1939
2,199,662,3009,1948
3,198,661,3008,1919
4,192,657,3007,1927
5,187,653,3006,1977
6,186,651,3005,1963
7,182,652,3005,1917
8,186,654,3005,1918
9,189,654,3004,1975
10,178,649,3004,1956
11,174,649,3004,1972
12,174,651,3004,1973
13,171,653,3006,1993
14,178,660,3008,1944
15,190,663,3011,1941
16,202,667,3015,1988
17,212,668,3017,2003
18,216,670,3018,2005
19,221,673,3019,1960
20,225,675,3021,1950
21,232,675,3023,1971
22,240,675,3024,1981
23,246,675,3024,1946
24,250,674,3026,1970
25,250,675,3028,1967
26,254,676,3030,1982
27,264,679,3032,2000
28,270,680,3032,1974
29,271,678,3032,1948
30,276,679,3032,1983
31,276,678,3031,1923
32,278,679,3032,1981
33,282,680,3034,1931
34,296,683,3036,1946
35,298,684,3037,1993
36,297,685,3036,1938
37,295,686,3037,1988
38,299,688,3040,1993
39,307,693,3044,2000
40,315,695,3047,1958
41,330,698,3050,1985
42,344,701,3051,1990
43,355,702,3052,1991
44,362,704,3053,1975
45,367,705,3054,1983
46,378,708,3056,1940
47,382,707,3060,1987
48,393,711,3062,1969
49,401,715,3065,1968
50,417,720,3070,2003
51,434,728,3077,2008
52,456,737,3081,1960
53,466,742,3083,1973
54,468,743,3082,2015
55,462,739,3078,1964
56,453,731,3075,2007
57,451,726,3074,1967
58,451,722,3076,2008
59,463,724,3078,1901
60,468,726,3080,1983
61,472,727,3081,1926
62,479,731,3085,2001
63,491,737,3089,2009
64,500,740,3093,1967
65,514,747,3096,1969
66,527,751,3099,1972
67,537,753,3102,1952
68,550,755,3105,1963
69,565,756,3109,1939
70,583,759,3114,1972
71,597,764,3118,1957
72,606,767,3119,1912
73,605,766,3119,2001
74,601,767,3117,1877
75,596,765,3117,1914
76,598,767,3119,1917
77,605,770,3122,1934
78,612,771,3124,1953
79,614,771,3125,2005
80,615,771,3125,2014
81,620,773,3124,1998
82,622,774,3125,1954
83,630,778,3128,2008
84,638,778,3130,1952
85,647,780,3132,1956
86,649,781,3133,1970
87,647,780,3133,1924
88,648,781,3134,1911
89,653,784,3136,1911
90,661,788,3140,1961
91,671,792,3144,2010
92,684,798,3145,1978
93,684,796,3146,2010
94,686,796,3146,2020
95,690,800,3147,1920
96,700,803,3151,1942
97,717,806,3157,1967
98,737,805,3163,1988
99,756,804,3165,1737
100,762,800,3165,1101
101,758,799,3164,1103
102,753,802,3162,1105
103,754,806,3166,1923
104,766,811,3172,1962
105,779,816,3175,1864
106,785,818,3177,1858
107,786,817,3179,1948
108,783,814,3179,1781
109,779,813,3181,1852
110,784,816,3184,1927
111,800,822,3187,1989
112,814,826,3189,2015
113,823,829,3189,1890
114,828,830,3190,1865
115,829,833,3192,1913
116,830,833,3194,2015
117,832,835,3195,2005
118,832,834,3196,1998
119,833,835,3196,1924
120,834,834,3196,1922
121,836,833,3194,1801
122,834,831,3193,1866
123,832,830,3194,1923
124,834,833,3196,1972
125,836,838,3198,1978
126,840,842,3200,1994
127,846,846,3203,2011
128,854,850,3207,1987
129,864,855,3211,2000
130,875,856,3214,2016
131,881,855,3214,1935
132,884,853,3215,2029
133,886,851,3215,2032
134,888,850,3215,1881
135,892,850,3217,1985
136,899,852,3220,2032
137,903,852,3221,1991
138,908,853,3222,2008
139,909,855,3222,1936
140,910,855,3222,1879
141,912,858,3224,1939
142,917,861,3226,1926
143,921,863,3228,1935
144,926,863,3230,2035
145,931,863,3230,1993
146,934,863,3230,1909
147,943,869,3232,1921
148,944,865,3230,1256
149,939,855,3229,1110
150,936,850,3228,1109
151,936,850,3229,1110
152,936,852,3229,1110
153,935,851,3229,1226
154,936,853,3234,1942
155,946,862,3237,1834
156,942,862,3238,2021
157,936,860,3238,1980
158,936,859,3239,1926
159,941,862,3242,2004
160,944,862,3241,1911
161,936,858,3236,1814
162,930,850,3235,2013
163,928,851,3234,1990
164,927,850,3234,1890
165,932,853,3237,1964
166,939,855,3241,1995
167,945,857,3245,1996
168,947,861,3248,1951
169,953,864,3251,2014
170,965,868,3252,1984
171,974,869,3254,1981
172,987,875,3257,2000
173,998,877,3258,1955
174,1009,880,3260,1984
175,1011,880,3261,1932
176,1014,878,3260,1824
177,1012,876,3261,1991
178,1011,875,3263,1911
179,1010,874,3267,1939
180,1014,874,3270,1952
181,1019,875,3271,1919
182,1021,876,3273,1989
183,1024,874,3274,1989
184,1029,875,3276,2011
185,1034,876,3277,1902
186,1038,877,3279,1922
187,1043,878,3281,1900
188,1049,878,3282,1834
189,1050,877,3282,1965
190,1051,876,3282,1777
191,1055,878,3285,1849
192,1063,882,3290,1924
193,1073,886,3295,1967
194,1082,888,3298,2027
195,1083,889,3297,2031
196,1079,889,3295,2007
197,1077,889,3294,1874
198,1077,887,3294,1974
199,1080,884,3294,1885
200,1081,882,3294,1901
201,1080,878,3293,1091
202,1078,877,3292,1091
203,1079,877,3294,1761
204,1086,881,3299,1848
205,1101,889,3308,1956
206,1118,899,3316,2003
207,1129,906,3320,1978
208,1133,909,3321,1999
209,1133,911,3321,1962
210,1136,912,3322,1957
211,1141,912,3324,2014
212,1141,908,3323,1981
213,1140,907,3323,2009
214,1141,907,3322,1873
215,1139,905,3321,2006
216,1138,904,3320,1882
217,1138,904,3321,1952
218,1141,906,3324,1945
219,1149,910,3327,1908
220,1154,911,3329,2005
221,1157,911,3329,1897
222,1146,908,3333,1928
223,1149,911,3335,2049
224,1147,911,3336,1946
225,1148,914,3336,2040
226,1162,922,3333,2045
227,1169,926,3332,1969
228,1166,921,3334,1970
229,1170,921,3334,1890
230,1167,918,3334,2012
231,1164,916,3335,2013
232,1166,916,3337,1949
233,1167,914,3338,1904
234,1167,912,3339,2036
235,1168,911,3339,1995
236,1169,911,3340,1913
237,1174,912,3343,1965
238,1178,912,3345,1971
239,1182,914,3346,1992
240,1184,915,3347,2016
241,1185,914,3347,1980
242,1187,912,3349,1976
243,1193,913,3352,1972
244,1199,915,3355,1912
245,1205,917,3359,1965
246,1212,920,3361,1968
247,1216,922,3364,2034
248,1222,923,3366,2011
249,1228,923,3368,2046
250,1235,925,3369,2013
251,1238,927,3370,1999
252,1242,928,3372,1884
253,1248,929,3375,1949
254,1250,929,3375,1815
255,1252,931,3378,1940
256,1257,940,3384,2047
257,1259,944,3395,2011
258,1282,952,3407,2045
259,1294,954,3408,2014
260,1288,951,3404,1964
261,1280,948,3401,2023
262,1290,951,3396,2022
263,1294,950,3394,1982
264,1300,951,3394,2021
265,1293,947,3398,2005
266,1297,949,3399,2021
267,1297,949,3398,1961
268,1295,947,3398,2019
269,1294,949,3397,1905
270,1293,949,3400,1933
271,1300,953,3404,1963
272,1308,955,3408,2045
273,1311,954,3408,1930
274,1313,953,3409,2034
275,1315,954,3409,1939
276,1315,953,3411,2038
277,1319,956,3413,2024
278,1324,957,3416,2036
279,1329,955,3419,1963
280,1335,957,3420,2003
281,1334,956,3419,1931
282,1334,956,3420,1971
283,1338,957,3424,2032
284,1347,959,3430,2038
285,1357,962,3435,2013
286,1363,963,3439,2020
287,1369,965,3442,2023
288,1375,966,3445,2029
289,1382,968,3449,2038
290,1389,971,3454,2004
291,1398,973,3458,1979
292,1405,975,3462,2000
293,1411,977,3465,2054
294,1414,977,3466,1968
295,1418,978,3468,1973
296,1421,978,3470,1982
297,1424,978,3472,1955
298,1428,979,3472,2002
299,1425,978,3469,1914
300,1423,977,3469,1922
301,1426,978,3473,2039
302,1433,980,3476,1976
303,1438,982,3478,1989
304,1439,983,3478,1913
305,1439,981,3480,1941
306,1442,981,3483,1970
307,1447,981,3486,1987
308,1451,983,3489,2013
309,1455,983,3492,2005
310,1460,984,3495,2030
311,1463,983,3498,2062
312,1468,984,3501,1977
313,1474,983,3506,2045
314,1483,986,3511,2024
315,1490,987,3514,1943
316,1495,989,3517,1970
317,1500,990,3521,1944
318,1508,992,3526,2026
319,1513,993,3529,1983
320,1519,995,3531,1953
321,1523,995,3533,1992
322,1527,997,3536,1999
323,1532,998,3539,1926
324,1537,1000,3543,1921
325,1543,1001,3547,1933
326,1549,1002,3550,1908
327,1553,1004,3551,1939
328,1552,1003,3551,2027
329,1554,1003,3552,1973
330,1557,1003,3555,2033
331,1562,1003,3557,1975
332,1565,1002,3556,1083
333,1562,1000,3554,1084
334,1557,1000,3550,1086
335,1557,1002,3552,1811
336,1562,1006,3559,2016
337,1570,1009,3564,2037
338,1574,1011,3566,2079
339,1575,1012,3565,1978
340,1574,1012,3564,1972
341,1573,1012,3564,1978
342,1574,1012,3565,2064
343,1578,1012,3567,1929
344,1581,1014,3569,2000
345,1582,1014,3568,2074
346,1580,1015,3565,1672
347,1579,1015,3566,2021
348,1583,1018,3570,2046
349,1588,1019,3574,2073
350,1592,1020,3576,2042
351,1592,1019,3576,2038
352,1594,1020,3577,2001
353,1596,1021,3578,2039
354,1598,1021,3579,2052
355,1599,1021,3580,2042
356,1603,1021,3583,2090
357,1606,1023,3586,2096
358,1611,1026,3590,2083
359,1616,1029,3594,2004
360,1622,1031,3598,1999
361,1627,1033,3602,2010
362,1631,1036,3605,2053
363,1633,1039,3606,2066
364,1634,1040,3607,2098
365,1634,1037,3610,2031
